id,name,date,type
event-276,Future of Artificial Intelligence,2026-03-27,Conference
event-277,Career Development Seminar,2021-10-04,Seminar
event-278,Introduction to Artificial Intelligence,2026-06-22,Workshop
event-279,Programming Contest,2026-05-25,Competition
event-280,Docker Workshop,2021-08-05,Workshop
event-281,Introduction to Artificial Intelligence,2026-04-21,Workshop
event-282,Traditional Arts Exhibition,2023-04-29,Cultural
event-283,Public Speaking Workshop,2025-10-17,Workshop
event-284,Chess Tournament,2023-10-20,Competition
event-285,Leadership Seminar,2024-02-08,Seminar
event-286,Community Meetup,2025-03-27,Social
event-287,Cybersecurity Awareness,2023-11-01,Seminar
event-288,Public Speaking Workshop,2022-11-11,Workshop
event-289,Software Engineering Best Practices,2026-07-16,Seminar
event-290,Startup Competition,2023-10-09,Competition
event-291,Traditional Arts Exhibition,2023-09-29,Cultural
event-292,Meet the Professionals,2026-07-13,Career
event-293,Sustainable Technology Conference,2023-12-16,Conference
event-294,Cybersecurity Conference,2025-01-07,Conference
event-295,Introduction to Machine Learning,2023-09-12,Seminar
event-296,Robotics Competition,2023-05-22,Competition
event-297,Sustainable Technology Conference,2026-04-05,Conference
event-298,Python Programming Workshop,2025-05-12,Workshop
event-299,Inter-Club Sports Tournament,2023-01-22,Sports
event-300,Research Methodology Seminar,2024-11-06,Seminar
